epoch: 82, step: 4305, time: 23.1, train: 1.243, valid: 1.678, train_acc: 0.960, valid_acc: 0.883
epoch: 83, step: 4358, time: 27.2, train: 1.236, valid: 1.703, train_acc: 0.962, valid_acc: 0.886
epoch: 84, step: 4410, time: 24.1, train: 1.243, valid: 1.604, train_acc: 0.960, valid_acc: 0.900
epoch: 85, step: 4463, time: 23.6, train: 1.242, valid: 1.598, train_acc: 0.961, valid_acc: 0.898
epoch: 86, step: 4516, time: 24.2, train: 1.223, valid: 1.633, train_acc: 0.965, valid_acc: 0.890
epoch: 87, step: 4569, time: 25.7, train: 1.238, valid: 1.651, train_acc: 0.962, valid_acc: 0.889
epoch: 88, step: 4622, time: 24.0, train: 1.241, valid: 1.673, train_acc: 0.960, valid_acc: 0.886
epoch: 89, step: 4675, time: 25.2, train: 1.232, valid: 1.621, train_acc: 0.963, valid_acc: 0.897
epoch: 90, step: 4727, time: 26.8, train: 1.219, valid: 1.683, train_acc: 0.966, valid_acc: 0.886
epoch: 91, step: 4780, time: 26.9, train: 1.241, valid: 1.711, train_acc: 0.961, valid_acc: 0.883
epoch: 92, step: 4833, time: 23.8, train: 1.212, valid: 1.670, train_acc: 0.968, valid_acc: 0.889
epoch: 93, step: 4886, time: 25.6, train: 1.228, valid: 1.640, train_acc: 0.964, valid_acc: 0.892
epoch: 94, step: 4938, time: 23.8, train: 1.218, valid: 1.629, train_acc: 0.967, valid_acc: 0.897
epoch: 95, step: 4990, time: 23.9, train: 1.217, valid: 1.640, train_acc: 0.967, valid_acc: 0.897
epoch: 96, step: 5043, time: 26.1, train: 1.217, valid: 1.621, train_acc: 0.966, valid_acc: 0.900
epoch: 97, step: 5096, time: 25.3, train: 1.222, valid: 1.630, train_acc: 0.965, valid_acc: 0.894
epoch: 98, step: 5149, time: 27.0, train: 1.199, valid: 1.674, train_acc: 0.971, valid_acc: 0.892
epoch: 99, step: 5201, time: 23.2, train: 1.209, valid: 1.562, train_acc: 0.969, valid_acc: 0.906
epoch: 100, step: 5254, time: 23.6, train: 1.228, valid: 1.613, train_acc: 0.964, valid_acc: 0.899
epoch: 101, step: 5307, time: 26.1, train: 1.201, valid: 1.593, train_acc: 0.971, valid_acc: 0.902
epoch: 102, step: 5360, time: 26.4, train: 1.199, valid: 1.601, train_acc: 0.971, valid_acc: 0.900
epoch: 103, step: 5412, time: 24.9, train: 1.191, valid: 1.679, train_acc: 0.973, valid_acc: 0.891
epoch: 104, step: 5465, time: 22.9, train: 1.197, valid: 1.652, train_acc: 0.971, valid_acc: 0.895
epoch: 105, step: 5518, time: 25.3, train: 1.194, valid: 1.763, train_acc: 0.972, valid_acc: 0.881
epoch: 106, step: 5571, time: 26.2, train: 1.199, valid: 1.589, train_acc: 0.971, valid_acc: 0.904
epoch: 107, step: 5624, time: 24.5, train: 1.189, valid: 1.649, train_acc: 0.974, valid_acc: 0.891
epoch: 108, step: 5677, time: 26.5, train: 1.210, valid: 1.565, train_acc: 0.968, valid_acc: 0.911
